,alcohol,residual sugar,fixed acidity,pH,free sulfur dioxide,quality
1649,9.4,1.6,6.9,3.65,39.0,0
1650,12.8,3.95,7.6,3.08,27.0,0
1651,9.0,12.8,6.4,3.12,48.0,0
1652,10.9,1.0,8.2,3.24,29.0,0
1653,8.8,31.6,7.9,3.15,35.0,0
1654,9.0,7.4,6.6,3.11,19.0,0
1655,10.2,1.3,7.8,3.09,27.0,0
1656,9.2,1.1,5.8,3.19,21.0,0
1657,11.3,7.8,7.8,3.26,34.0,0
1658,8.8,7.7,6.6,3.12,52.0,0
1659,9.3,7.7,6.6,3.16,53.0,0
1660,9.4,7.8,6.6,3.17,62.0,0
1661,10.3,8.3,6.7,3.23,54.0,0
1662,10.8,1.4,6.7,2.92,30.0,0
1663,8.8,31.6,7.9,3.15,35.0,0
1664,9.0,15.4,8.1,3.27,32.0,0
1665,11.5,1.0,6.5,3.41,48.0,1
1666,10.8,1.0,7.8,3.25,8.0,0
1667,11.8,5.9,8.8,2.95,33.0,0
1668,10.5,1.2,7.9,3.12,20.0,0
1669,9.9,1.2,7.1,3.14,10.0,0
1670,9.8,6.7,7.8,3.2,33.0,0
1671,11.4,6.5,7.0,3.4,27.0,0
1672,9.3,4.8,6.6,3.2,41.0,0
1673,9.3,5.3,6.6,3.2,35.0,0
1674,10.3,8.9,6.8,3.3,82.0,0
1675,8.9,8.8,6.2,3.17,65.0,0
1676,11.4,6.5,7.0,3.4,27.0,0
1677,11.1,1.8,7.3,3.11,60.0,0
1678,10.4,6.6,6.2,3.36,42.0,0
1679,10.1,5.7,6.4,3.33,18.0,0
1680,9.0,18.35,7.6,3.22,44.0,0
1681,11.9,10.0,6.3,3.74,49.0,0
1682,9.0,14.4,7.2,3.12,55.0,0
1683,9.0,14.4,7.2,3.12,55.0,0
1684,9.1,17.85,7.3,3.06,41.5,0
1685,9.0,14.4,7.2,3.12,55.0,0
1686,10.0,9.4,7.4,3.46,42.0,0
1687,9.1,17.85,7.3,3.06,41.5,0
1688,9.4,1.55,6.7,3.55,118.5,0
1689,11.4,1.3,7.1,3.27,28.0,0
1690,9.7,1.5,9.0,3.11,7.0,0
1691,9.0,14.4,7.2,3.12,55.0,0
1692,11.8,4.2,7.0,3.28,41.0,0
1693,10.2,8.6,6.7,3.25,54.0,0
1694,9.2,1.4,7.7,3.37,47.0,0
1695,11.0,3.0,7.2,3.25,35.0,0
1696,10.0,14.9,8.5,3.08,47.0,0
1697,12.2,2.0,6.9,3.32,39.0,0
1698,11.8,4.2,7.0,3.28,41.0,0
1699,11.6,2.2,6.3,3.38,35.0,0
1700,10.2,1.8,6.7,3.44,25.0,0
1701,10.3,11.1,7.9,3.14,43.0,0
1702,8.6,4.2,6.5,3.25,6.0,0
1703,9.6,6.4,6.7,3.16,27.0,0
1704,9.6,6.4,6.7,3.16,25.0,0
1705,11.3,1.5,6.6,3.41,32.0,0
1706,9.9,1.5,6.4,3.41,38.0,0
1707,9.6,16.95,6.8,3.45,48.0,0
1708,10.6,1.7,7.0,3.36,25.0,0
1709,9.8,13.6,6.8,3.44,50.0,0
1710,10.5,1.6,8.1,3.08,10.0,0
1711,10.8,6.1,7.0,3.24,31.0,0
1712,10.0,3.0,7.9,3.22,25.0,0
1713,10.1,6.2,6.6,3.3,23.0,0
1714,9.4,6.6,6.8,3.07,35.0,0
1715,11.5,1.6,6.5,3.32,43.0,1
1716,10.8,6.0,7.0,3.26,29.0,0
1717,9.9,1.5,6.8,3.1,19.0,0
1718,9.0,1.7,9.3,3.16,28.0,0
1719,9.4,1.8,5.8,3.38,24.0,0
1720,10.8,2.6,7.6,3.46,30.0,0
1721,10.9,2.7,8.2,3.5,24.0,0
1722,12.0,19.5,7.5,3.24,33.0,0
1723,11.5,1.6,6.5,3.32,43.0,1
1724,10.5,5.0,7.0,3.47,31.0,0
1725,9.3,4.6,6.9,3.29,55.0,0
1726,11.8,6.4,7.0,3.23,28.0,0
1727,10.0,14.5,7.6,3.48,68.0,0
1728,9.4,6.6,6.8,3.07,35.0,0
1729,11.4,6.7,7.5,3.2,45.0,0
1730,10.4,1.1,9.2,2.94,40.0,0
1731,9.5,13.8,8.7,3.36,68.0,0
1732,11.9,2.5,6.6,3.14,48.0,0
1733,11.1,1.1,8.1,2.99,49.0,0
1734,9.6,9.6,6.9,3.39,50.0,0
1735,12.0,4.6,8.0,3.29,56.0,0
1736,8.7,3.1,6.1,3.14,15.0,0
1737,9.6,9.6,6.9,3.39,50.0,0
1738,10.0,1.8,7.5,3.24,19.0,0
1739,11.4,1.05,8.4,2.91,4.0,0
1740,9.6,6.5,6.6,3.14,23.0,0
1741,12.9,2.0,7.7,3.18,28.0,0
1742,9.7,14.9,6.3,3.14,47.0,0
1743,9.3,10.0,8.3,3.23,33.0,0
1744,9.1,1.1,6.6,3.1,52.0,0
1745,8.6,12.0,6.1,3.16,46.0,0
1746,9.9,4.8,7.5,3.14,33.0,0
1747,9.3,10.0,8.3,3.23,33.0,0
1748,10.9,1.2,8.0,3.28,20.0,0
1749,10.2,1.5,6.1,3.2,45.0,0
1750,9.7,10.4,7.4,3.11,44.0,0
1751,11.4,2.5,6.7,3.38,40.0,0
1752,9.5,12.3,6.1,3.24,53.0,0
1753,10.2,1.4,7.4,3.42,43.0,0
1754,11.1,2.2,6.4,3.31,33.0,0
1755,9.7,14.9,6.3,3.14,47.0,0
1756,9.3,8.0,6.7,3.22,54.0,0
1757,8.8,8.6,6.9,3.17,56.0,0
1758,10.6,1.2,9.6,2.8,12.0,0
1759,9.3,8.7,6.6,3.17,81.0,0
1760,10.2,5.4,6.4,3.31,67.0,0
1761,10.2,5.7,8.0,3.16,31.0,0
1762,11.0,1.5,6.4,3.46,20.0,0
1763,9.6,10.9,7.3,3.4,18.0,0
1764,9.3,8.0,6.7,3.22,54.0,0
1765,8.8,8.6,6.9,3.17,56.0,0
1766,8.8,7.7,6.6,3.17,56.0,0
1767,8.9,1.7,7.4,3.28,50.0,0
1768,10.0,1.4,6.6,3.17,58.0,0
1769,12.2,4.5,7.7,3.16,33.0,0
1770,10.9,9.9,7.8,3.04,33.0,0
1771,9.5,1.4,6.5,3.34,40.0,0
1772,10.9,9.5,7.8,3.04,32.0,0
1773,10.9,9.9,7.8,3.04,33.0,0
1774,10.8,3.0,6.9,3.16,33.0,0
1775,12.0,19.6,7.7,3.24,28.0,0
1776,9.8,14.0,6.6,3.56,42.0,0
1777,9.5,1.4,6.5,3.34,40.0,0
1778,11.0,1.8,6.4,3.42,43.0,1
1779,11.0,1.8,6.4,3.42,43.0,1
1780,9.8,5.4,8.4,3.24,47.0,0
1781,10.5,1.8,6.1,3.49,13.0,0
1782,11.4,9.25,8.5,3.05,73.0,0
1783,10.1,1.5,8.7,3.27,17.0,0
1784,11.6,6.8,6.7,3.33,54.0,0
1785,11.4,9.25,8.5,3.05,73.0,0
1786,11.8,2.6,7.4,3.07,29.0,0
1787,12.1,2.1,7.2,3.33,50.0,0
1788,12.0,7.6,8.2,3.16,37.0,0
1789,12.1,1.6,7.8,3.08,26.0,0
1790,9.1,1.4,9.4,3.15,26.0,0
1791,9.3,1.6,6.4,3.36,25.0,0
1792,10.4,1.4,7.8,3.2,21.0,0
1793,9.1,17.95,7.4,3.27,42.0,0
1794,9.4,2.0,6.6,3.32,23.0,0
1795,9.6,6.3,6.7,3.16,22.0,0
1796,12.0,1.4,7.1,3.19,27.0,0
1797,11.3,9.05,6.9,3.27,37.0,1
1798,8.7,15.4,6.8,3.06,56.0,0
1799,9.9,7.1,6.4,3.39,35.0,0
1800,9.3,10.2,7.6,3.08,57.0,0
1801,9.5,1.6,9.4,3.07,14.0,0
1802,8.7,15.4,6.8,3.06,56.0,0
1803,9.9,7.1,6.4,3.39,35.0,0
1804,9.3,10.2,7.6,3.08,57.0,0
1805,9.4,12.4,7.5,3.16,29.0,0
1806,9.4,3.4,7.6,3.15,9.0,0
1807,8.8,15.0,8.8,3.28,60.0,0
1808,9.4,12.4,7.5,3.16,29.0,0
1809,8.8,15.0,8.8,3.28,60.0,0
1810,9.9,1.5,6.6,3.18,39.0,0
1811,9.4,3.4,7.6,3.15,9.0,0
1812,12.6,4.8,5.6,3.29,24.0,0
1813,11.1,1.2,7.2,3.19,18.0,0
1814,12.8,4.1,8.2,3.0,31.0,0
1815,12.0,2.8,6.8,3.09,10.0,0
1816,12.0,13.9,6.7,3.36,34.0,0
1817,9.2,0.8,7.2,3.19,46.0,0
1818,12.3,1.0,6.0,3.38,27.0,0
1819,13.0,1.2,6.8,3.19,38.0,0
1820,12.0,2.8,6.8,3.09,10.0,0
1821,10.9,1.7,7.4,3.07,23.0,0
1822,12.8,4.1,8.2,3.0,31.0,0
1823,10.0,6.3,7.3,3.36,34.0,0
1824,9.0,11.5,6.5,3.22,35.0,0
1825,10.4,1.5,7.1,3.42,13.0,0
1826,9.0,11.5,6.5,3.22,35.0,0
1827,10.0,6.3,7.3,3.36,34.0,0
1828,10.0,6.3,7.3,3.36,35.0,0
1829,11.3,11.2,7.7,3.12,41.0,0
1830,11.3,11.2,7.7,3.12,41.0,0
1831,12.0,15.1,7.4,3.13,34.0,0
1832,11.3,11.2,7.7,3.12,41.0,0
1833,12.0,15.1,7.4,3.13,34.0,0
1834,10.6,5.6,6.4,3.6,43.0,0
1835,9.3,12.6,8.0,2.99,37.0,0
1836,9.4,5.7,7.0,3.04,27.0,0
1837,11.0,2.2,7.2,3.27,37.0,0
1838,9.3,11.0,6.5,3.44,53.0,0
1839,9.4,5.7,7.0,3.04,27.0,0
1840,10.5,1.0,6.9,3.42,24.0,0
1841,11.0,2.2,7.2,3.27,37.0,0
1842,9.5,11.8,8.2,3.07,96.0,0
1843,11.2,7.8,8.3,3.33,32.0,0
1844,12.3,4.7,6.1,3.29,21.0,0
1845,9.0,11.5,7.4,3.27,44.0,0
1846,9.0,7.9,7.6,3.07,62.0,0
1847,9.0,11.5,7.4,3.27,44.0,0
1848,9.0,17.8,8.7,2.98,34.0,0
1849,11.4,1.7,7.0,3.25,48.0,0
1850,11.0,1.6,7.1,3.2,50.0,0
1851,12.3,4.7,6.1,3.29,21.0,0
1852,10.4,1.6,6.4,3.6,36.0,0
1853,10.3,2.4,8.3,3.28,16.0,0
1854,10.5,6.4,6.8,3.29,44.0,0
1855,9.8,14.0,8.0,3.14,83.0,0
1856,10.0,1.6,10.0,3.11,34.0,0
1857,9.7,1.6,8.9,3.14,13.0,0
1858,9.7,1.4,8.9,3.13,14.0,0
1859,9.8,14.0,8.0,3.14,83.0,0
1860,10.5,4.7,6.7,3.32,57.0,0
1861,10.0,10.2,7.8,3.14,78.0,0
1862,11.5,2.3,7.3,3.24,22.0,0
1863,9.5,7.8,6.6,3.24,57.0,0
1864,10.5,2.4,7.1,3.43,25.0,0
1865,10.2,8.3,7.6,3.12,28.0,0
1866,9.8,13.9,7.6,3.34,45.0,0
1867,11.6,13.8,6.9,3.1,34.0,0
1868,11.8,7.3,7.4,3.15,41.0,0
1869,10.1,8.5,8.2,3.04,41.0,0
1870,10.3,1.8,6.3,3.31,35.0,0
1871,10.4,5.1,7.0,3.34,38.0,0
1872,8.9,16.05,5.8,3.09,26.0,0
1873,8.9,16.05,5.8,3.09,26.0,0
1874,10.8,7.35,7.9,3.06,37.0,0
1875,9.2,16.05,6.6,3.38,16.0,0
1876,9.6,2.0,8.0,3.18,48.0,0
1877,10.4,1.2,8.0,3.08,21.0,0
1878,8.7,14.0,8.0,3.03,41.0,0
1879,9.2,16.2,7.2,3.06,14.0,0
1880,9.2,14.3,7.7,3.18,45.0,0
1881,9.2,16.2,7.2,3.06,14.0,0
1882,9.2,14.3,7.7,3.18,45.0,0
1883,9.2,14.3,7.7,3.18,45.0,0
1884,10.2,7.9,6.4,3.4,34.0,0
1885,9.2,16.2,7.2,3.06,14.0,0
1886,9.0,1.0,7.0,3.2,39.0,0
1887,9.7,13.6,7.3,3.37,41.0,0
1888,9.6,17.85,7.2,3.34,50.0,0
1889,10.0,1.3,7.6,3.14,24.0,0
1890,9.2,14.3,7.7,3.18,45.0,0
1891,9.1,13.7,7.6,3.18,44.0,0
1892,8.7,18.3,6.8,3.3,40.0,0
1893,8.7,18.3,6.8,3.3,40.0,0
1894,9.5,6.5,6.8,3.14,31.0,0
1895,9.5,10.3,7.9,2.93,73.0,0
1896,8.9,8.1,7.5,2.9,53.0,0
1897,8.9,8.1,7.5,2.9,53.0,0
1898,9.9,8.6,7.2,3.29,15.0,0
1899,12.6,1.9,6.7,3.29,41.0,0
1900,9.7,14.1,10.0,2.72,45.0,0
1901,10.4,7.9,7.4,2.96,14.0,0
1902,9.1,10.7,8.8,2.93,26.0,0
1903,10.4,1.2,7.8,3.01,25.0,0
1904,9.5,10.3,7.9,2.93,73.0,0
1905,8.9,8.1,7.5,2.9,53.0,0
1906,10.6,1.9,6.0,3.16,16.0,0
1907,12.0,2.7,7.9,3.12,64.0,0
1908,12.5,5.7,7.2,2.93,26.0,0
1909,9.6,9.3,7.6,3.21,40.0,0
1910,9.2,8.1,6.6,3.08,54.0,0
1911,9.9,1.3,7.1,3.04,20.0,0
1912,11.7,8.5,7.9,2.96,20.0,0
1913,9.6,2.1,8.3,3.09,21.0,0
1914,12.0,3.5,6.8,3.0,27.0,0
1915,12.5,5.7,7.2,2.93,26.0,0
1916,9.2,8.1,6.6,3.08,54.0,0
1917,9.9,1.3,7.1,3.04,20.0,0
1918,8.9,14.4,6.6,3.17,54.0,0
1919,9.0,13.7,7.3,3.24,56.0,0
1920,10.2,11.1,8.1,3.03,52.5,0
1921,9.6,9.3,7.6,3.21,40.0,0
1922,9.4,4.9,7.0,3.29,27.0,0
1923,10.4,1.7,8.2,2.97,10.0,0
1924,10.4,1.6,7.6,3.15,6.0,0
1925,10.0,1.4,6.3,3.16,15.0,0
1926,10.0,1.4,6.3,3.16,14.0,0
1927,10.5,1.6,7.1,3.05,46.0,0
1928,11.4,6.8,7.0,3.23,47.0,0
1929,10.2,9.7,8.8,3.08,46.0,0
1930,10.4,10.5,9.2,3.04,49.0,0
1931,11.0,2.0,7.1,3.24,146.5,0
1932,10.1,6.2,9.2,2.89,15.0,0
1933,9.2,8.3,7.2,3.0,27.0,0
1934,10.3,1.6,6.8,3.23,25.0,0
1935,10.2,9.7,8.8,3.08,46.0,0
1936,10.4,10.5,9.2,3.04,49.0,0
1937,11.1,4.6,7.3,3.23,34.0,0
1938,9.9,1.2,7.2,3.33,27.0,0
1939,9.0,7.6,6.8,3.14,35.0,0
1940,8.6,15.0,8.3,2.93,35.0,0
1941,9.0,7.6,6.8,3.14,35.0,0
1942,8.6,15.0,8.3,2.93,35.0,0
1943,9.5,11.6,6.3,3.18,48.0,0
1944,9.0,1.1,6.0,3.02,61.0,0
1945,10.0,7.8,8.1,2.99,39.0,0
1946,9.0,12.0,6.4,3.6,57.0,0
1947,9.0,1.1,5.7,3.02,61.0,0
1948,10.2,1.4,7.2,3.34,37.0,0
1949,9.6,6.7,6.7,3.04,29.0,0
1950,9.7,17.2,8.0,2.96,49.0,0
1951,10.2,1.4,9.9,3.02,34.0,0
1952,13.0,8.2,8.1,3.01,29.0,0
1953,10.8,4.3,8.1,3.37,49.0,0
1954,9.7,17.2,8.0,2.96,49.0,0
1955,9.0,11.1,6.4,2.89,66.0,0
1956,9.9,1.1,7.2,3.37,16.0,0
1957,9.2,7.2,7.0,3.29,22.0,0
1958,8.7,16.6,7.4,2.96,53.0,0
1959,10.1,1.0,8.5,2.79,13.0,0
1960,10.1,1.0,8.5,2.79,13.0,0
1961,9.5,1.3,9.5,2.9,21.0,0
1962,9.9,1.4,8.2,3.17,11.0,0
1963,8.7,16.6,7.4,2.96,53.0,0
1964,9.0,6.9,6.8,3.19,50.0,0
1965,8.6,13.3,6.8,3.03,50.0,0
1966,10.5,8.1,7.4,3.12,13.0,0
1967,9.5,9.2,8.0,3.09,53.0,0
1968,10.1,1.4,7.6,3.43,41.0,0
1969,11.7,3.2,6.3,3.53,49.0,0
1970,10.7,2.5,8.3,3.23,32.0,0
1971,11.7,3.2,6.3,3.53,49.0,0
1972,9.2,4.5,7.6,3.15,37.0,0
1973,8.8,18.35,7.5,3.17,33.0,0
1974,8.8,18.35,7.5,3.17,33.0,0
1975,9.5,7.8,6.8,3.24,76.0,0
1976,10.2,7.0,6.8,3.57,35.0,0
1977,9.1,6.3,8.4,3.25,30.0,0
1978,10.5,1.2,7.9,3.19,23.0,0
1979,9.0,12.8,7.5,3.09,57.0,0
1980,8.9,14.2,7.6,3.14,53.0,1
1981,8.9,14.2,7.6,3.14,53.0,1
1982,8.9,14.2,7.6,3.14,53.0,1
1983,8.9,14.2,7.6,3.14,53.0,1
1984,8.9,14.2,7.6,3.14,53.0,1
1985,9.1,16.65,8.1,3.2,48.0,0
1986,10.1,1.9,7.6,3.2,27.0,0
1987,10.0,7.7,8.1,3.12,57.0,0
1988,9.5,10.4,8.0,3.11,63.0,0
1989,12.3,3.3,7.1,3.08,30.0,0
1990,9.1,1.1,6.4,3.24,5.0,0
1991,8.9,14.2,7.6,3.14,53.0,1
1992,9.6,6.3,7.0,3.5,17.0,0
1993,11.6,5.25,7.4,3.13,33.0,0
1994,8.8,14.6,7.0,3.34,47.0,0
1995,8.9,11.8,8.4,3.34,51.0,0
1996,8.8,14.6,7.0,3.34,47.0,0
1997,8.9,11.8,8.4,3.34,51.0,0
1998,8.9,11.8,8.4,3.34,51.0,0
1999,9.0,17.3,7.3,3.13,32.0,0
2000,10.0,1.4,6.8,3.19,56.0,0
2001,10.0,1.3,6.7,3.18,58.0,0
2002,11.1,1.6,7.6,3.36,43.0,0
2003,11.6,5.25,7.4,3.13,33.0,0
2004,10.6,2.4,7.4,3.42,58.0,0
2005,8.8,14.6,7.0,3.34,47.0,0
2006,8.9,11.8,8.4,3.34,51.0,0
2007,10.1,1.5,5.6,3.34,16.0,0
2008,10.0,1.8,7.2,3.52,21.0,0
2009,12.2,7.7,8.0,3.18,27.0,0
2010,11.0,2.0,7.0,3.23,20.0,0
2011,10.0,1.8,7.2,3.52,21.0,0
2012,11.1,1.4,6.8,3.37,37.0,0
2013,10.4,16.7,6.6,3.22,38.0,0
2014,11.8,8.1,9.0,2.94,14.0,0
2015,10.8,8.0,6.9,3.11,22.0,0
2016,12.5,4.7,6.3,3.3,28.0,0
2017,11.8,8.1,9.0,2.94,14.0,0
2018,11.6,2.1,7.0,3.25,12.0,0
2019,10.4,16.7,6.6,3.22,38.0,0
2020,11.5,6.4,7.7,3.19,36.0,0
2021,10.1,1.5,6.3,3.23,46.0,0
2022,9.2,7.6,7.6,3.11,45.0,0
2023,10.1,1.5,6.3,3.23,46.0,0
2024,9.2,12.4,8.0,3.07,29.0,0
2025,8.9,1.3,7.5,3.08,44.0,0
2026,10.1,1.7,6.4,3.09,5.0,0
2027,8.9,8.1,6.9,3.13,51.0,0
2028,9.7,7.1,8.9,3.1,33.0,0
2029,9.2,7.6,7.6,3.11,45.0,0
2030,11.0,2.3,9.5,3.06,22.0,0
2031,10.7,6.5,7.6,3.14,32.0,0
2032,10.8,1.4,6.5,3.24,29.0,0
2033,9.8,12.7,7.2,3.41,50.0,0
2034,11.0,1.6,7.9,3.25,11.0,0
2035,10.4,1.1,8.8,2.97,18.0,0
2036,10.2,1.2,5.7,3.8,20.0,0
2037,10.7,6.5,7.6,3.14,32.0,0
2038,9.0,4.6,5.5,3.34,22.0,0
2039,10.6,0.6,8.7,3.08,11.0,0
2040,9.5,10.6,6.7,3.22,56.0,0
2041,9.0,4.6,5.5,3.34,22.0,0
2042,9.2,4.8,5.6,3.34,22.0,0
2043,11.0,2.7,7.4,2.97,30.0,0
2044,9.9,12.6,5.7,3.28,22.0,0
2045,10.6,0.6,8.7,3.08,11.0,0
2046,9.3,9.2,8.3,3.38,22.0,0
2047,9.6,6.6,6.8,3.14,28.0,0
2048,9.5,7.0,6.8,3.14,29.0,0
2049,9.7,8.45,6.3,3.39,32.0,0
2050,9.7,11.1,11.8,2.93,15.0,0
2051,8.7,18.15,6.8,3.3,41.0,0
2052,8.7,18.15,6.8,3.3,41.0,0
2053,12.4,4.1,8.6,3.01,19.0,0
2054,12.4,4.1,8.6,3.01,19.0,0
2055,10.6,4.6,7.3,3.07,27.0,0
2056,8.7,18.15,6.8,3.3,41.0,0
2057,12.0,4.9,6.7,3.36,20.0,0
2058,9.0,8.3,7.3,3.12,45.0,0
2059,8.8,1.4,5.7,3.13,31.0,0
2060,9.5,11.5,6.8,3.22,58.0,0
2061,10.8,1.8,6.7,3.32,23.0,0
2062,11.4,1.6,6.9,3.16,34.0,0
2063,10.3,2.4,7.6,3.6,38.0,0
2064,9.5,4.9,6.6,3.3,51.0,0
2065,9.9,1.8,7.8,3.15,21.0,0
2066,10.2,4.3,7.7,3.16,25.0,0
2067,10.2,4.4,7.6,3.16,26.0,0
2068,11.0,1.4,5.7,3.44,26.0,0
2069,12.1,1.6,7.1,3.22,25.0,0
2070,9.1,1.3,7.3,3.26,25.0,0
2071,9.5,5.2,6.5,3.26,31.0,0
2072,9.5,5.6,6.6,3.27,43.0,0
2073,9.8,5.3,6.6,3.31,57.0,0
2074,9.5,4.9,6.6,3.3,51.0,0
2075,10.3,2.4,7.6,3.6,38.0,0
2076,9.6,1.6,6.8,3.3,10.0,0
2077,10.2,2.1,7.0,3.52,39.0,0
2078,10.5,1.4,5.9,3.68,25.0,0
2079,10.4,7.1,7.4,3.32,17.0,0
2080,9.6,1.6,6.8,3.3,10.0,0
2081,10.7,10.7,7.5,3.22,18.0,0
2082,10.5,11.1,7.5,3.15,25.0,0
2083,10.6,10.7,9.4,2.85,14.0,0
2084,9.6,1.6,7.9,3.29,47.0,0
2085,9.6,1.6,7.9,3.29,47.0,0
2086,9.5,1.5,8.2,3.14,17.0,0
2087,9.4,1.5,8.3,3.12,48.0,0
2088,9.8,1.6,8.7,3.22,29.0,0
2089,9.6,1.6,7.9,3.29,47.0,0
2090,9.2,8.0,7.2,3.16,51.0,0
2091,9.5,7.7,7.2,3.17,53.0,0
2092,9.2,2.7,5.3,3.34,27.0,0
2093,9.4,15.1,6.6,2.94,22.0,0
2094,9.4,15.1,6.6,2.94,22.0,0
2095,9.3,8.9,8.4,3.4,33.0,0
2096,9.1,6.0,6.8,3.19,5.0,0
2097,9.5,12.3,6.7,3.36,31.0,0
2098,9.1,13.1,7.4,3.42,72.0,0
2099,10.6,6.7,6.0,3.63,43.0,0
2100,9.5,12.3,6.7,3.36,31.0,0
2101,12.4,2.3,6.8,3.19,16.0,0
2102,8.7,11.1,6.2,3.18,28.0,0
2103,8.8,1.5,6.0,3.12,35.0,0
2104,10.6,6.7,6.0,3.63,43.0,0
2105,9.1,6.0,6.8,3.19,5.0,0
2106,9.0,15.2,8.5,3.02,40.0,0
2107,10.3,10.2,8.1,3.16,46.0,0
2108,9.1,13.1,7.4,3.42,72.0,0
2109,9.5,10.7,7.7,3.12,59.0,0
2110,8.8,17.1,6.5,3.3,44.0,0
2111,8.8,17.1,6.5,3.3,44.0,0
2112,8.8,17.1,6.5,3.3,44.0,0
2113,9.9,1.9,5.7,3.38,20.0,0
2114,9.5,10.7,7.7,3.12,59.0,0
2115,8.8,17.1,6.5,3.3,44.0,0
2116,11.7,1.2,6.8,3.14,19.0,0
2117,10.8,1.2,7.7,3.21,26.0,0
2118,12.0,3.1,6.4,3.43,18.0,0
2119,10.3,1.5,8.0,3.2,14.0,0
2120,9.0,10.7,6.8,3.05,47.0,0
2121,12.2,4.9,7.7,3.19,36.0,0
2122,9.9,12.6,6.9,3.39,59.0,0
2123,9.0,10.7,6.8,3.05,47.0,0
2124,12.2,4.9,7.7,3.19,36.0,0
2125,10.1,12.15,6.0,3.2,42.0,0
2126,9.3,12.0,6.5,3.31,23.0,0
2127,9.5,1.7,9.1,3.1,50.5,0
2128,9.2,2.6,5.9,3.43,36.0,0
2129,11.7,1.4,6.8,3.27,15.0,0
2130,11.0,1.9,7.0,3.35,21.0,0
2131,9.6,16.9,7.1,3.37,49.0,0
2132,9.6,16.9,7.1,3.37,49.0,0
2133,11.9,2.1,8.3,2.99,22.0,0
2134,10.8,7.0,6.8,3.25,38.0,0
2135,10.1,7.1,7.2,3.38,41.0,0
2136,10.9,5.9,7.9,3.25,31.0,0
2137,10.1,7.1,7.2,3.38,41.0,0
2138,10.4,8.7,5.5,3.27,19.0,0
2139,9.2,13.2,7.1,3.05,12.0,0
2140,9.6,15.3,7.7,3.27,31.0,0
2141,9.6,15.3,7.7,3.27,31.0,0
2142,9.0,13.2,7.5,3.1,64.0,0
2143,11.5,2.7,6.5,3.4,18.0,0
2144,10.2,10.65,8.2,3.17,53.0,0
2145,9.9,10.0,7.2,3.4,49.0,0
2146,9.6,6.8,7.2,3.44,26.0,0
2147,10.6,15.6,6.4,3.1,20.0,0
2148,9.2,13.2,7.1,3.05,12.0,0
2149,11.8,5.1,6.8,3.24,31.0,0
2150,12.2,3.0,7.0,3.18,36.0,0
2151,9.6,15.3,7.7,3.27,31.0,0
2152,10.6,2.1,7.0,3.2,15.0,0
2153,10.3,1.9,7.5,3.27,23.0,0
2154,10.2,8.6,9.8,3.12,34.0,0
2155,10.7,8.75,7.8,3.11,33.0,0
2156,11.7,3.6,7.9,3.05,9.0,0
2157,12.0,4.7,8.5,3.01,31.0,0
2158,10.6,1.3,7.4,3.52,26.0,0
2159,12.2,1.8,6.3,3.3,6.0,0
2160,11.0,9.7,6.0,3.47,29.0,0
2161,12.4,4.0,6.8,3.23,29.0,0
2162,9.4,2.4,9.9,2.77,19.0,0
2163,12.0,4.7,8.5,3.01,31.0,0
2164,11.6,18.8,8.4,2.96,55.0,0
2165,9.4,1.8,7.0,3.18,15.0,0
2166,9.4,1.8,7.0,3.18,15.0,0
2167,9.1,12.8,7.4,3.14,48.5,0
2168,9.1,12.8,7.4,3.14,48.5,0
2169,9.1,12.8,7.4,3.14,48.5,0
2170,9.1,12.8,7.4,3.14,48.5,0
2171,9.1,12.8,7.4,3.14,48.5,0
2172,9.2,7.8,6.9,3.23,11.0,0
2173,9.2,16.75,7.6,3.15,43.0,0
2174,9.1,12.8,7.4,3.14,48.5,0
2175,9.1,12.8,7.4,3.14,48.5,0
2176,9.2,7.8,6.9,3.23,11.0,0
2177,9.0,5.4,6.0,3.25,23.0,0
2178,9.2,16.75,7.6,3.15,43.0,0
2179,10.8,1.3,7.7,3.22,33.0,0
2180,9.5,10.1,8.0,3.4,29.0,0
2181,11.0,3.8,7.4,3.11,30.0,0
2182,10.0,10.9,6.6,3.24,37.0,0
2183,9.5,6.6,6.3,3.22,38.0,0
2184,10.1,9.8,6.4,3.29,29.0,0
2185,9.5,11.7,7.5,3.19,24.0,0
2186,9.5,1.2,6.5,3.08,14.0,0
2187,9.5,1.4,6.8,3.11,13.0,0
2188,9.4,9.6,6.4,3.35,24.0,0
2189,9.4,12.2,7.1,2.92,36.0,0
2190,12.7,2.6,7.6,3.31,29.0,0
2191,9.7,10.7,9.2,3.09,34.0,0
2192,9.7,4.9,7.9,3.27,31.0,0
2193,9.4,12.2,7.1,2.92,36.0,0
2194,9.4,9.6,6.4,3.35,24.0,0
2195,9.5,1.4,6.8,3.11,13.0,0
2196,11.7,1.1,7.0,3.1,20.0,0
2197,11.7,1.0,7.3,3.09,26.0,0
2198,9.7,8.2,7.1,3.16,53.0,0
2199,9.5,11.3,6.6,3.24,77.0,0
2200,9.1,7.3,6.4,3.25,31.0,0
2201,10.3,2.3,6.0,3.23,23.0,0
2202,9.7,8.2,7.1,3.16,53.0,0
2203,9.9,2.1,7.8,3.21,14.0,0
2204,9.9,2.0,7.6,3.22,19.0,0
2205,10.2,10.0,7.7,3.26,35.0,0
2206,12.1,15.75,8.9,3.0,16.0,0
